Dystans (m),Wysokosc (m)
10071.832452400067,1179.5126953125
10131.783836045306,1187.468872070312
10191.735219690545,1185.353271484375
10251.686603335784,1193.4501953125
10311.637986981023,1197.182373046875
10371.589370626261,1205.139526367188
10431.540754271498,1187.338256835938
10491.492137916737,1183.5390625
10551.443521561976,1173.140747070312
10611.394905207215,1162.449096679688
10671.346288852454,1154.663452148438
10731.297672497692,1150.169067382812
10791.24905614293,1169.85791015625
10851.200439788168,1178.92138671875
10911.151823433407,1188.105712890625
10971.103207078646,1197.23779296875
11031.054590723885,1206.126586914062
11091.005974369122,1215.747802734375
11150.95735801436,1224.160278320312
11210.9087416596,1234.787841796875
11270.860125304838,1252.791015625
11330.811508950077,1273.419189453125
11390.762892595316,1295.364501953125
11450.714276240553,1322.217895507812
11510.665659885792,1349.198852539062
11570.61704353103,1384.3740234375
11630.56842717627,1455.817993164062
11690.519810821508,1581.020629882812
11750.471194466747,1528.191772460938
11810.422578111984,1416.063842773438
11870.373961757223,1395.331665039062
11930.325345402462,1382.364379882812
11990.2767290477,1384.5234375
12050.22811269294,1388.33251953125
12110.179496338176,1401.99951171875
12170.130879983415,1407.099975585938
12230.082263628654,1391.799682617188
12290.033647273893,1352.060913085938
12349.985030919132,1321.539428710938
12409.93641456437,1294.782836914062
12469.887798209607,1262.186157226562
12529.839181854846,1240.2939453125
12589.790565500085,1217.73583984375
12649.741949145324,1195.484008789062
12709.693332790563,1141.552124023438
12769.644716435801,1090.838989257812
12829.596100081038,1047.41064453125
12889.547483726277,1091.907836914062
12949.498867371516,1138.587280273438
13009.450251016755,1159.054077148438
13069.401634661994,1142.705688476562
13129.353018307233,1107.753295898438
13189.30440195247,1083.381591796875
13249.255785597708,1052.57080078125
13309.207169242947,1018.819580078125
13369.158552888186,975.8189697265625
13429.109936533425,992.116455078125
13489.061320178662,1064.42919921875
13549.0127038239,1100.587524414062
13608.96408746914,1125.828979492188
13668.915471114378,1128.535766601562
13728.866854759617,1129.006225585938
13788.818238404856,1154.635986328125
13848.769622050093,1205.102294921875
13908.721005695332,1214.451904296875
13968.67238934057,1184.520385742188
14028.62377298581,1167.31982421875
14088.575156631048,1158.86669921875
14148.526540276287,1160.212524414062
14208.477923921524,1161.182250976562
14268.429307566763,1161.921875
14328.380691212002,1155.560913085938
14388.33207485724,1208.817749023438
14448.28345850248,1253.270385742188
14508.234842147716,1269.51220703125
14568.186225792955,1294.331176757812
14628.137609438194,1323.124877929688
14688.088993083433,1363.270874023438
14748.040376728672,1390.351318359375
14807.99176037391,1413.337646484375
14867.943144019147,1429.495727539062
14927.894527664386,1443.798095703125
14987.845911309625,1452.49169921875
15047.797294954864,1485.140991210938
15107.748678600103,1616.4111328125
15167.700062245342,1695.947143554688
15227.651445890579,1732.745849609375
15287.602829535817,1787.95751953125
15347.554213181056,1828.326782226562
15407.505596826295,1833.48583984375
15467.456980471534,1788.667846679688
15527.40836411677,1716.132934570312
15587.35974776201,1658.411743164062
15647.311131407248,1533.869995117188
15707.262515052487,1489.053833007812
15767.213898697726,1460.572998046875
15827.165282342965,1438.092407226562
15887.116665988202,1395.943359375
15947.06804963344,1378.101684570312
16007.01943327868,1409.351806640625
16066.970816923918,1447.494384765625
16126.922200569157,1483.643310546875
16186.873584214396,1489.912231445312
16246.824967859633,1499.209838867188
16306.776351504872,1499.423583984375
16366.72773515011,1509.906616210938
16426.67911879535,1522.301879882812
16486.63050244059,1509.169677734375
16546.581886085827,1559.137939453125
16606.533269731066,1579.992797851562
16666.484653376305,1653.02978515625
16726.43603702154,1718.314697265625
16786.38742066678,1760.716186523438
16846.338804312018,1805.986328125
16906.290187957256,1849.504028320312
16966.241571602495,1886.890869140625
17026.192955247734,1929.065673828125
17086.144338892973,1996.287231445312
17146.09572253821,2034.052978515625
17206.04710618345,2043.868041992188
17265.99848982869,2033.868774414062
17325.949873473928,2014.527099609375
17385.901257119167,1986.938232421875
17445.852640764402,1961.534301757812
17505.80402440964,1957.746215820312
17565.75540805488,1932.739990234375
17625.70679170012,1892.45556640625
17685.658175345357,1846.439331054688
17745.609558990596,1826.849365234375
17805.560942635835,1814.569458007812
17865.512326281074,1782.826049804688
17925.463709926313,1760.566284179688
17985.41509357155,1744.221557617188
18045.36647721679,1743.142700195312
18105.317860862026,1754.074951171875
18165.269244507264,1755.310791015625
18225.220628152503,1735.109741210938
18285.172011797742,1744.165405273438
18345.12339544298,1756.93017578125
18405.07477908822,1782.502319335938
18465.02616273346,1811.920776367188
18524.977546378697,1882.999145507812
18584.928930023936,1932.697021484375
18644.880313669175,1981.925659179688
18704.831697314414,2029.6806640625
18764.78308095965,2067.510009765625
18824.734464604888,2100.8154296875
18884.685848250127,2138.69189453125
18944.637231895365,2246.435302734375
19004.588615540604,2316.16796875
19064.539999185843,2370.466552734375
19124.491382831082,2412.244873046875
19184.44276647632,2432.52783203125
19244.39415012156,2435.226806640625
19304.3455337668,2441.838134765625
19364.296917412037,2445.267578125
19424.248301057276,2447.503173828125
19484.19968470251,2449.8076171875
19544.15106834775,2442.35498046875
19604.10245199299,2435.042724609375
19664.053835638228,2440.987060546875
19724.005219283466,2440.799560546875
19783.956602928705,2432.546142578125
19843.907986573944,2417.13916015625
19903.859370219183,2389.873779296875
19963.81075386442,2353.609619140625
20023.76213750966,2321.954833984375
20083.7135211549,2282.2646484375
20143.664904800135,2242.99365234375
20203.616288445373,2203.348388671875
20263.567672090612,2187.767822265625
20323.51905573585,2176.13720703125
20383.47043938109,2127.172607421875
20443.42182302633,2094.905517578125
20503.373206671567,2081.47119140625
20563.324590316806,2072.374267578125
20623.275973962045,2063.791748046875
20683.227357607284,2038.518676757812
20743.178741252523,2006.037841796875
20803.13012489776,2006.291381835938
20863.081508542997,1981.356567382812
20923.032892188236,1956.671020507812
20982.984275833474,1913.024536132812
21042.935659478713,1877.503784179688
21102.887043123952,1829.687255859375
21162.83842676919,1777.521850585938
21222.78981041443,1725.270874023438
21282.74119405967,1701.27685546875
21342.692577704907,1711.88232421875
21402.643961350146,1730.29150390625
21462.595344995385,1757.80078125
21522.54672864062,1792.24072265625
21582.49811228586,1834.52294921875
21642.449495931098,1846.73876953125
21702.400879576337,1817.3408203125
21762.352263221575,1778.4912109375
21822.303646866814,1797.804443359375
21882.255030512053,1810.672729492188
21942.206414157292,1842.141479492188
22002.15779780253,1852.364624023438
22062.10918144777,1792.690795898438
22122.06056509301,1722.714233398438
22182.011948738244,1666.188598632812
22241.963332383482,1676.319702148438
22301.91471602872,1677.732788085938
22361.86609967396,1681.284790039062
22421.8174833192,1659.597412109375
22481.768866964438,1651.929809570312
22541.720250609676,1620.403686523438
22601.671634254915,1490.141967773438
22661.623017900154,1428.863403320312
22721.574401545393,1384.08056640625
22781.52578519063,1352.670654296875
22841.47716883587,1356.382934570312
22901.428552481106,1354.434326171875
22961.379936126345,1346.978759765625
23021.331319771583,1340.673217773438
23081.282703416822,1328.184326171875
23141.23408706206,1316.008666992188
23201.1854707073,1308.395141601562
23261.13685435254,1305.36083984375
23321.088237997777,1300.220092773438
23381.039621643016,1295.290405273438
23440.991005288255,1288.980346679688
23500.942388933494,1303.543334960938
23560.89377257873,1303.161499023438
23620.845156223968,1292.015747070312
23680.796539869207,1287.315673828125
23740.747923514446,1284.727416992188
23800.699307159684,1290.031616210938
23860.650690804923,1284.935913085938
23920.602074450162,1266.427124023438
23980.5534580954,1252.324462890625
24040.50484174064,1244.110107421875
24100.45622538588,1236.585815429688
24160.407609031117,1233.385009765625
24220.358992676352,1241.384887695312
24280.31037632159,1233.406005859375
24340.26175996683,1229.522338867188
24400.21314361207,1225.235595703125
24460.164527257308,1215.843872070312
24520.115910902547,1197.60791015625
24580.067294547785,1192.497802734375
24640.018678193024,1186.829467773438
24699.970061838263,1182.152954101562
24759.921445483502,1198.421508789062
24819.87282912874,1226.224365234375
24879.82421277398,1216.673095703125
24939.775596419215,1203.310180664062
24999.726980064454,1245.013549804688
25059.678363709692,1294.796020507812
25119.62974735493,1323.01220703125
25179.58113100017,1345.489379882812
25239.53251464541,1355.018676757812
25299.483898290648,1374.2900390625
25359.435281935886,1415.422241210938
25419.386665581125,1454.866821289062
25479.338049226364,1476.9951171875
25539.289432871603,1459.849609375
25599.240816516838,1436.796875
25659.192200162077,1412.687255859375
25719.143583807316,1387.434936523438
25779.094967452555,1374.391235351562
25839.046351097793,1367.138305664062
25898.997734743032,1395.11767578125
25958.94911838827,1408.083862304688
26018.90050203351,1423.746948242188
26078.85188567875,1456.846435546875
26138.803269323987,1516.220947265625
26198.754652969226,1619.745727539062
26258.706036614465,1681.531616210938
26318.6574202597,1697.88037109375
26378.60880390494,1660.319091796875
26438.560187550178,1593.69970703125
26498.511571195417,1473.30859375
26558.462954840656,1433.998046875
26618.414338485894,1397.38427734375
26678.365722131133,1360.702026367188
26738.317105776372,1341.763061523438
26798.26848942161,1329.8369140625
26858.21987306685,1302.615112304688
26918.17125671209,1247.0146484375
26978.122640357324,1194.895629882812
27038.074024002563,1259.032836914062
27098.0254076478,1297.092041015625
27157.97679129304,1309.056640625
27217.92817493828,1334.408203125
27277.879558583518,1347.357788085938
27337.830942228757,1349.811157226562
27397.782325873995,1306.997436523438
27457.733709519234,1264.064575195312
27517.685093164473,1210.4501953125
27577.636476809712,1180.210815429688
27637.587860454947,1142.78955078125
27697.539244100186,1117.043701171875
27757.490627745425,1114.05224609375
27817.442011390664,1094.881103515625
27877.393395035902,1082.22900390625
27937.34477868114,1073.880737304688
27997.29616232638,1058.108276367188
28057.24754597162,1073.998168945312
28117.198929616858,1077.563354492188
28177.150313262096,1074.47900390625
28237.101696907335,1072.697631835938
28297.053080552574,1098.504028320312
28357.00446419781,1137.836669921875
28416.955847843048,1156.426147460938
28476.907231488287,1156.029052734375
28536.858615133526,1151.59716796875
28596.809998778765,1146.384033203125
28656.761382424003,1131.91943359375
28716.712766069242,1123.227172851562
28776.66414971448,1123.359130859375
28836.61553335972,1114.222900390625
28896.56691700496,1083.651611328125
28956.518300650197,1047.383666992188
29016.469684295433,1007.851196289062
29076.42106794067,959.1340942382812
29136.37245158591,896.6607055664062
29196.32383523115,838.1409301757812
29256.275218876388,821.1300659179688
29316.226602521627,795.8510131835938
29376.177986166866,780.1422119140625
29436.129369812104,782.4902954101562
29496.080753457343,755.6326904296875
29556.032137102582,730.2355346679688
29615.98352074782,726.5155029296875
29675.934904393056,751.6819458007812
29735.886288038295,797.6622924804688
29795.837671683534,848.6969604492188
29855.789055328773,890.9615478515625
29915.74043897401,887.6588134765625
29975.69182261925,910.3324584960938
30035.64320626449,956.7145385742188
30095.594589909728,1008.860778808594
30155.545973554967,1081.794921875
30215.497357200205,1128.55224609375
30275.448740845444,1152.59375
30335.400124490683,1153.28125
30395.35150813592,1162.7392578125
30455.302891781157,1200.334838867188
30515.254275426396,1204.013916015625
30575.205659071635,1185.297607421875
30635.157042716874,1176.120727539062
